Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
105	7.9021964	0.15613791	8.199219	7.7334228	137.85715	1.7791275	2.904102	7.799373	-0.50100553	106000	8.046627e-10	0.039783277	0.05290537	-0.016884536	-1.4380155	0.05722213	0.584	1.0	6280.0395295619965
106	7.915737	0.1617734	8.110443	7.740212	142.5	1.5652168	2.6655025	7.6517696	-0.38380533	107000	1.6884506e-07	0.026955944	0.046700753	-0.010096962	-1.4380546	0.06016935	0.546	1.0	6356.107514858246
107	7.9436607	0.08164621	8.0437975	7.8216834	143.83333	1.554931	2.6943233	7.6784363	-0.43357056	108000	-1.3113022e-09	0.0048948126	0.043322783	-0.0013210967	-1.438101	0.057976793	0.588	1.0	6429.0672035217285
108	8.063401	0.068867065	8.187541	7.979703	151.0	1.5363237	2.6849003	7.65455	-0.45078033	109000	-6.097555e-08	0.009122422	0.051991407	-0.0042153257	-1.4381603	0.08743442	0.609	1.0	6502.1802389621735
109	7.9870396	0.08614073	8.091351	7.8573494	148.5	1.6053979	2.6734667	7.695501	-0.40348512	110000	-7.805228e-08	0.007449288	0.042371567	-0.001524548	-1.4382092	0.059765335	0.56	1.0	6579.7485818862915
110	8.46834	0.75950867	9.982045	7.9807196	178.2	1.487881	2.4998252	7.6874905	-0.47254986	111000	-8.21054e-08	0.015669469	0.04184473	-0.007496572	-1.438235	0.065567136	0.56	1.0	6666.363311052322
111	8.333394	0.29792675	8.903382	8.029981	175.4	1.5290802	2.5417516	7.8337145	-0.4675976	112000	5.51939e-08	0.018811196	0.045519084	-0.012567045	-1.4382511	0.07791901	0.607	1.0	6735.434677124023
112	9.222462	0.0	9.222462	9.222462	223.0	0.52316004	1.705789	7.882822	-0.34078693	113000	5.173683e-08	0.18634804	0.026515415	-0.16581157	-1.4382592	0.022811815	0.415	1.0	6786.649299860001
113	9.012492	0.8189582	10.180936	8.181838	236.0	1.5786893	2.414098	8.065405	-0.33599204	114000	-6.92904e-08	0.02296548	-3.2678785e-05	-0.012196449	-1.4382577	0.02433173	0.298	2.0	6867.162194490433
114	9.935928	0.0	9.935928	9.935928	322.0	0.84877646	1.6249641	7.9150476	0.0032160878	115000	-6.28233e-08	0.0701949	-0.011359003	-0.046630986	-1.4383925	0.007745985	0.082	79.0	6942.148650884628
115	13.72996	0.0	13.72996	13.72996	1000.0	0.87826365	1.1379452	8.1110935	0.44709033	116000	-2.0377337e-08	0.024094315	-0.0051757516	-0.017914858	-1.4385749	0.015190339	0.1	1.0	6997.125911235809
116	9.900364	0.0	9.900364	9.900364	293.0	1.064295	1.6304517	8.237935	0.26602042	117000	-9.3191865e-08	0.03639745	-0.00077995425	-0.027678609	-1.4385442	0.029063975	0.309	3.0	7051.18983912468
117	9.31245	0.06721012	9.39294	9.233335	236.0	1.6617725	2.3663027	8.116183	0.11845577	118000	-5.2794814e-08	0.020400908	-0.0020295714	-0.015489337	-1.4383202	0.019866336	0.261	1.0	7123.930301904678
118	9.63346	0.0	9.63346	9.63346	255.0	0.76855445	1.6501876	8.016695	-0.13930315	119000	-1.3935566e-07	0.054167703	-0.0062825456	-0.046659827	-1.4382619	0.015794791	0.101	17.0	7206.129623413086
119	9.263748	0.19446436	9.467713	9.0140705	229.0	1.763593	2.3326092	8.1523695	0.083976686	120000	-6.5386295e-08	0.034886446	6.4963103e-07	-0.029605553	-1.4359537	0.022014935	0.382	2.0	7270.992143154144
