Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
79	13.16817	6.046251	16.439169	-0.33132228	843.3333	1.10158	1.013813	6.9194236	-0.92084545	480000	-7.450581e-09	0.3026103	-0.0039334525	-0.00708357	0.5746716	0.017185686	0.26783335	13.0	3771.83553814888
80	16.327696	0.71512365	17.311428	15.254107	1000.0	1.0941474	0.99957436	7.1007276	0.71819115	486000	6.208817e-09	0.09841508	-0.006932466	-0.08293231	0.5730813	0.0075946203	0.09516666	79.0	3828.0629851818085
81	16.063908	0.48370752	16.845705	15.451163	1000.0	1.1361932	1.150663	7.9348435	0.76007944	492000	-3.4769375e-08	0.007411881	-0.008782086	-0.0017414414	0.5771035	0.006235486	0.099	79.0	3881.3240823745728
82	15.976096	0.2513348	16.417994	15.6459	1000.0	1.1062415	1.1542952	8.143331	0.65157104	498000	-7.450581e-09	0.005563513	-0.006444769	-0.0010523516	0.565958	0.00379683	0.039	79.0	3933.9931659698486
83	15.912482	0.6278692	16.695045	14.766373	1000.0	1.4411916	1.8685633	8.157533	0.69890314	504000	-9.934108e-09	1.7330388	-0.006572502	-1.2714299	0.5593614	0.0066960393	0.07066667	79.0	3994.10258102417
84	8.775446	7.888381	15.668653	-0.35481802	598.5714	1.195767	1.0871001	5.9380274	-0.69960725	510000	1.2417635e-09	0.77008504	-0.005248723	-0.110912085	0.56745714	0.0046436186	0.042999998	79.0	4055.752171754837
85	10.3091	6.996378	15.823543	0.37029982	827.0	0.8797631	0.91084576	5.091221	-0.5920483	516000	4.967054e-09	0.6050205	-0.004141025	-0.047865424	0.5751098	0.015284226	0.19583334	13.0	4118.348171234131
86	13.273725	6.0539885	16.468515	-0.24791226	852.0	0.9657096	0.7477087	5.093766	-0.079688735	522000	-2.483527e-09	0.39681253	-0.0014202636	-0.10963889	0.57456607	0.019311706	0.24983335	5.0	4171.557466030121
87	15.107507	2.7753448	17.040428	9.042702	890.0	1.1144868	1.0348517	6.481043	0.66638595	528000	-4.967054e-09	0.0955998	-0.0011328394	-0.072630055	0.5741147	0.015287531	0.227	4.0	4223.186064720154
88	15.949303	2.4485602	18.26632	10.704386	917.8333	1.1846541	1.3518654	7.7606926	0.50154996	534000	2.483527e-09	0.059556484	0.00022676245	-0.0149193285	0.5734337	0.021515304	0.32166666	2.0	4274.729850053787
89	16.751137	9.800609	35.30817	1.6527884	979.6667	2.2888715	2.5323596	7.5709686	0.5295658	540000	0.0	10.52645	-0.00531511	-6.8491974	0.5729941	0.0058838814	0.0885	79.0	4330.556198596954
90	21.272713	7.0243845	32.332085	15.5104	800.6667	1.2692163	0.9355864	5.459199	-0.63738894	546000	-9.934108e-09	6.106924	-0.0025895834	-0.9204753	0.56501377	0.015025888	0.28583333	4.0	4386.623645067215
